event_id,offer_id,bp_player_id,player,normalized_player,bp_player_team,market,open_line,open_over,open_under,open_book,open_book_under,open_created_over,open_created_under,forecast_at,tip_at,pair_skew_seconds,date,season,season_type,event_home,event_away,open_booksum,open_coherent,rejection_reasons,p_open,game_id,athlete_id,team_id,opponent_team_id,home,matched,void,match_reason,actual,game_date,side,claimed_ev,decimal_odds,profit,settled_stake,is_push,is_void,is_unresolved
2147,21b2bc5b-dd0a-4152-a03c-bc0cbf39550b,112,Napheesa Collier,napheesacollier,MIN,assists,3.5,-118.0,-112.0,10,10,2025-05-13 13:58:15+00:00,2025-05-13 13:58:15+00:00,2025-05-13 13:58:15+00:00,2025-05-16 23:30:00+00:00,0.0,2025-05-16,2025,REG,DAL,MIN,1.0695862904621776,True,,0.5067212711754592,401736113,3917450,8,3,0,True,False,matched,4.0,2025-05-16,under,0.09089635805830848,1.8928571428571428,-1.0,1.0,False,False,False
2147,9171ed3f-72a4-4a84-a04d-66ac259620f7,63,Arike Ogunbowale,arikeogunbowale,DAL,points,21.5,-104.0,-125.0,10,10,2025-05-13 13:58:16+00:00,2025-05-13 13:58:16+00:00,2025-05-13 13:58:16+00:00,2025-05-16 23:30:00+00:00,0.0,2025-05-16,2025,REG,DAL,MIN,1.065359477124183,True,,0.4763687479911608,401736113,3904577,3,8,1,True,False,matched,16.0,2025-05-16,under,0.1618199959186346,1.8,0.8,1.0,False,False,False
2147,f3d455d1-75b2-4f9e-b17b-a77e4613bf0a,128,Bridget Carleton,bridgetcarleton,PDX,points,9.5,-115.0,-113.0,10,10,2025-05-13 13:58:16+00:00,2025-05-13 13:58:16+00:00,2025-05-13 13:58:16+00:00,2025-05-16 23:30:00+00:00,0.0,2025-05-16,2025,REG,DAL,MIN,1.0654001528551151,True,,0.5022557674006809,401736113,3906972,8,3,0,True,False,matched,3.0,2025-05-16,under,0.06566202220083311,1.8849557522123894,0.8849557522123894,1.0,False,False,False
2146,4b04f15f-0d91-40ed-bbb9-38ee89212cb2,15,Rhyne Howard,rhynehoward,ATL,points,17.5,-130.0,100.0,19,19,2025-05-14 15:10:14+00:00,2025-05-14 15:10:14+00:00,2025-05-14 15:10:14+00:00,2025-05-16 23:30:00+00:00,0.0,2025-05-16,2025,REG,WAS,ATL,1.065217391304348,True,,0.5336835053940976,401736112,4398674,20,16,0,True,False,matched,11.0,2025-05-16,under,0.19292471823752333,2.0,1.0,1.0,False,False,False
2149,29ade203-e4fa-4383-960c-6323cb70cecd,102,Jackie Young,jackieyoung,LVA,points,15.5,-105.0,-125.0,19,19,2025-05-14 15:24:14+00:00,2025-05-14 15:24:14+00:00,2025-05-14 15:24:14+00:00,2025-05-17 17:00:00+00:00,0.0,2025-05-17,2025,REG,NYL,LVA,1.067750677506775,True,,0.47757418034290006,401736116,4065870,17,9,0,True,False,matched,16.0,2025-05-17,under,0.31812069844105245,1.8,-1.0,1.0,False,False,False
2149,cf8b1cc4-7e08-44c9-bab4-a03b8b6a0766,103,A'ja Wilson,ajawilson,LVA,points,25.5,-110.0,-120.0,19,19,2025-05-14 15:24:14+00:00,2025-05-14 15:24:14+00:00,2025-05-14 15:24:14+00:00,2025-05-17 17:00:00+00:00,0.0,2025-05-17,2025,REG,NYL,LVA,1.0692640692640691,True,,0.4887959885212434,401736116,3149391,17,9,0,True,False,matched,31.0,2025-05-17,under,0.23292218152830174,1.8333333333333335,-1.0,1.0,False,False,False
2149,a3bad779-7ba0-4462-854d-9b2ff794867e,132,Sabrina Ionescu,sabrinaionescu,NYL,points,18.5,-110.0,-120.0,19,19,2025-05-14 15:24:14+00:00,2025-05-14 15:24:14+00:00,2025-05-14 15:24:14+00:00,2025-05-17 17:00:00+00:00,0.0,2025-05-17,2025,REG,NYL,LVA,1.0692640692640691,True,,0.4887959885212434,401736116,4066533,9,17,1,True,False,matched,8.0,2025-05-17,under,0.22671338371472882,1.8333333333333335,0.8333333333333335,1.0,False,False,False
2149,04845953-d4b7-4f38-bbf1-d6b623af118a,137,Breanna Stewart,breannastewart,NYL,points,20.5,-125.0,-105.0,19,19,2025-05-14 15:24:14+00:00,2025-05-14 15:24:14+00:00,2025-05-14 15:24:14+00:00,2025-05-17 17:00:00+00:00,0.0,2025-05-17,2025,REG,NYL,LVA,1.067750677506775,True,,0.5224258196571001,401736116,2998928,9,17,1,True,False,matched,25.0,2025-05-17,under,0.15286327465952654,1.9523809523809523,-1.0,1.0,False,False,False
2150,1bb82e5e-7644-4627-a182-695eeab26462,68,Caitlin Clark,caitlinclark,IND,points,21.5,-125.0,-105.0,19,19,2025-05-14 15:24:15+00:00,2025-05-14 15:24:15+00:00,2025-05-14 15:24:15+00:00,2025-05-17 19:00:00+00:00,0.0,2025-05-17,2025,REG,IND,CHI,1.067750677506775,True,,0.5224258196571001,401736115,4433403,5,19,1,True,False,matched,20.0,2025-05-17,under,0.2217921972208713,1.9523809523809523,0.9523809523809523,1.0,False,False,False
2150,8a5fb64b-9386-4720-b847-548ce6d42af1,26,Angel Reese,angelreese,ATL,points,14.5,-120.0,-110.0,19,19,2025-05-14 15:24:15+00:00,2025-05-14 15:24:15+00:00,2025-05-14 15:24:15+00:00,2025-05-17 19:00:00+00:00,0.0,2025-05-17,2025,REG,IND,CHI,1.0692640692640691,True,,0.5112040114787568,401736115,4433402,19,5,0,True,False,matched,12.0,2025-05-17,under,0.09755418466711474,1.9090909090909092,0.9090909090909092,1.0,False,False,False
